id;name;type;scope;description
1;API;API;BIL Generic;
2;ESB;MESSAGING;BIL Generic;
3;Batch File;FILE;BIL Generic;
4;Batch File through MFT;FILE;BIL Generic;
5;Batch File through iMFT;FILE;BIL Generic;
6;Event;EVENT;BIL Generic;
7;O2O NODS;DB;BIL Generic;Oracle2Oracle fast provisionning for NODS
8;T24 API;API;T24;
9;T24 Notif;MESSAGING;T24;
10;T24 ESB;MESSAGING;T24;
11;T24 Data sync Out;ETL;T24;
12;T24 Data sync In;ETL;T24;
13;T24 File In;FILE;T24;
14;T24 - TAP;MESSAGING;T24;
15;T24 Batch In;FILE;T24;
16;T24 Batch Out;FILE;T24;
17;T24 Direct In;FILE;T24;
18;T24 Direct JMS;MESSAGING;T24;
19;SOAP;API;External;
20;DEEPLINK;FRONT;CRM;
21;MQ;MESSAGING;BIL Generic;
22;N/A;OTHER;N/A;Interface between two external products: SAA woth SAG or Jeddi with Twinsafe
23;MANUAL;OTHER;N/A;Manual action 
24;RPA;OTHER;N/A;
25;Direct queue over MQ;MESSAGING;N/A;
26;Mail / File;OTHER;N/A;Mail contents a link to the file
27;LINK;FRONT;N/A;Link to external partners on BILnet
28;HTTP REDIRECT;FRONT;N/A;
29;ETL (ODI);DB;;
30;REST;API;N/A;Direct REST (HTTP) calls, no ServiceProxy etc.
31;File;FILE;N/A;Generic file transfer (no scheduler involved)
32;DB;DB;N/A;Schema shared between two applications
33;NAS;FILE;N/A;
34;INDIRECT THROUGH CUSTOMER BROWSER;FRONT;;HTTP Redirect?
35;File (zip) / MFT / NAS;FILE;;
36;Outlook Widget;OTHER;;